"","q25","pv1","q50","pv2","q75","pv3","ols","pv4"
"(Intercept)",63.82,"**",124.97,"***",125.55,"***",123.98,"**"
"gran.reserva",0.52,"***",0.47,"***",0.46,"***",0.47,"***"
"premium",0.89,"***",0.81,"***",0.79,"***",0.83,"***"
"super.premium",1.18,"***",1.17,"***",1.27,"***",1.2,"***"
"icono",1.94,"***",1.85,"***",1.94,"***",1.9,"***"
"cs",0.02,"",-0.02,"",0.01,"",0.01,""
"me",0.01,"",-0.05,"",0,"",0,""
"ca",0.01,"",-0.02,"",0.03,"",0.01,""
"et",0.05,"",0.04,"",0.05,"",0.04,""
"medianas.bajo.precio",0.08,"***",0.04,"",0.03,"",0.04,"***"
"emergentes.exclusivas",0.04,"",0.06,"**",0,"",0.04,""
"valle.maipo",0.01,"",0,"",0.02,"",0,""
"colchagua",-0.02,"",-0.05,"*",-0.05,"*",-0.05,""
"puntaje",-1.27,"**",-2.66,"***",-2.66,"***",-2.63,"**"
"puntajesq",0.01,"**",0.02,"***",0.02,"***",0.01,"**"
"antigüedad",-0.01,"",0.09,"*",0.13,"***",0.07,""
"antisq",0,"",0,"",-0.01,"**",0,""
